az,el
5,21.06488
10,18.90315
15,18.30043
20,16.50828
25,15.94325
30,13.82361
35,11.49271
40,9.639942
45,8.045754
50,7.251651
55,6.542039
60,7.426875
65,9.120803
70,9.217482
75,9.255089
80,10.97454
85,13.43314
90,14.28574
95,15.01177
100,16.73599
105,13.92976
110,15.90934
115,15.90934
120,13.89265
125,14.48145
130,14.33275
135,13.74776
140,12.29166
145,10.67846
150,9.188486
155,8.322976
160,7.112148
165,6.580755
170,5.46968
175,4.794987
180,4.331082
185,4.61317
190,4.097847
195,5.163063
200,3.553775
205,3.551236
210,3.118948
215,5.265974
220,5.265974
225,5.265974
230,8.95449
235,9.777999
240,10.68018
245,15.12547
250,17.39038
255,17.39038
260,19.43075
265,20.81383
270,20.81383
275,20.81383
280,23.0947
285,23.61294
290,24.26025
295,24.97441
300,25.67993
305,25.83985
310,25.85113
315,26.6391
320,25.83985
325,25.83985
330,25.81705
335,25.81705
340,24.02082
345,23.98731
350,22.75522
355,22.75522
360,21.06488
