az,el
5,0.413268
10,3.465792
15,1.948871
20,2.251392
25,2.098023
30,2.187029
35,0.458854
40,1.305798
45,0.313687
50,0
55,0
60,0
65,0
70,0
75,0
80,0
85,0
90,0.452997
95,0
100,0.118041
105,0
110,0
115,0
120,0
125,0.242375
130,0
135,0
140,0
145,0.087156
150,0
155,0
160,0
165,0
170,0
175,0.348795
180,2.385149
185,3.454387
190,2.535136
195,1.720357
200,0.950418
205,0.67376
210,0.640896
215,0
220,1.066649
225,0
230,0.458558
235,2.049892
240,4.823028
245,2.634176
250,1.355122
255,3.237307
260,3.214758
265,1.983596
270,3.284122
275,5.147624
280,3.406552
285,0.455124
290,0
295,0
300,0
305,0
310,0
315,0
320,0
325,0
330,0
335,0
340,0
345,0
350,0
355,0
360,0.103186
