az,el
5,29.19685
10,29.19685
15,29.19685
20,27.2436
25,27.2436
30,27.2436
35,21.60536
40,23.80327
45,26.27496
50,26.27496
55,25.67332
60,24.53334
65,24.53334
70,24.45116
75,24.17282
80,26.5371
85,26.5371
90,26.16388
95,26.47574
100,27.72655
105,27.72655
110,24.46931
115,24.46931
120,25.17425
125,27.1772
130,27.1772
135,27.1772
140,27.1772
145,27.39695
150,27.39695
155,27.39173
160,28.02001
165,27.60926
170,27.00205
175,27.00205
180,25.49482
185,25.49482
190,23.11472
195,15.18731
200,15.18731
205,12.07877
210,12.07877
215,6.582121
220,5.38993
225,1.83622
230,4.479986
235,7.469978
240,7.469978
245,10.25106
250,10.96498
255,12.81236
260,15.59174
265,15.59174
270,17.88126
275,17.88126
280,19.07033
285,19.3586
290,22.38101
295,22.38101
300,22.38101
305,30.1071
310,30.1071
315,30.1071
320,32.68853
325,32.68853
330,32.68853
335,32.68853
340,32.68853
345,32.68853
350,29.19685
355,29.19685
360,29.19685
