Dz,Kh,Kv,vwc_r,vwc_fc,vwc_s,VG_alpha,VG_n,SS
10,0.0312615740740741,0.0312615740740741,0.083,0.137,0.321,0.0055,1.51,1e-07
11.8181818181818,0.0312615740740741,0.0312615740740741,0.083,0.137,0.321,0.0055,1.51,1e-07
13.6363636363636,0.0312615740740741,0.0312615740740741,0.083,0.137,0.321,0.0055,1.51,1e-07
15.4545454545455,0.0312615740740741,0.0312615740740741,0.083,0.137,0.321,0.0055,1.51,1e-07
17.2727272727273,0.0312615740740741,0.0312615740740741,0.083,0.137,0.321,0.0055,1.51,1e-07
19.0909090909091,0.0312615740740741,0.0312615740740741,0.083,0.137,0.321,0.0055,1.51,1e-07
20.9090909090909,0.0312615740740741,0.0312615740740741,0.083,0.137,0.321,0.0055,1.51,1e-07
22.7272727272727,0.0312615740740741,0.0312615740740741,0.083,0.137,0.321,0.0055,1.51,1e-07
24.5454545454545,0.0312615740740741,0.0312615740740741,0.083,0.137,0.321,0.0055,1.51,1e-07
26.3636363636364,0.0312615740740741,0.0312615740740741,0.083,0.137,0.321,0.0055,1.51,1e-07
28.1818181818182,0.0312615740740741,0.0312615740740741,0.083,0.137,0.321,0.0055,1.51,1e-07
30,0.0312615740740741,0.0312615740740741,0.083,0.137,0.321,0.0055,1.51,1e-07
31.8181818181818,0.0312615740740741,0.0312615740740741,0.083,0.137,0.321,0.0055,1.51,1e-07
33.6363636363636,0.0312615740740741,0.0312615740740741,0.083,0.137,0.321,0.0055,1.51,1e-07
35.4545454545455,0.0312615740740741,0.0312615740740741,0.083,0.137,0.321,0.0055,1.51,1e-07
37.2727272727273,0.0312615740740741,0.0312615740740741,0.083,0.137,0.321,0.0055,1.51,1e-07
39.0909090909091,0.0312615740740741,0.0312615740740741,0.083,0.137,0.321,0.0055,1.51,1e-07
40.9090909090909,0.0312615740740741,0.0312615740740741,0.083,0.137,0.321,0.0055,1.51,1e-07
42.7272727272727,0.0312615740740741,0.0312615740740741,0.083,0.137,0.321,0.0055,1.51,1e-07
44.5454545454545,0.0312615740740741,0.0312615740740741,0.083,0.137,0.321,0.0055,1.51,1e-07
46.3636363636364,0.0312615740740741,0.0312615740740741,0.083,0.137,0.321,0.0055,1.51,1e-07
48.1818181818182,0.0312615740740741,0.0312615740740741,0.083,0.137,0.321,0.0055,1.51,1e-07
50,0.0312615740740741,0.0312615740740741,0.083,0.137,0.321,0.0055,1.51,1e-07
51.8181818181818,0.0312615740740741,0.0312615740740741,0.083,0.137,0.321,0.0055,1.51,1e-07
53.6363636363636,0.0312615740740741,0.0312615740740741,0.083,0.137,0.321,0.0055,1.51,1e-07
55.4545454545455,0.0312615740740741,0.0312615740740741,0.083,0.137,0.321,0.0055,1.51,1e-07
57.2727272727273,0.0312615740740741,0.0312615740740741,0.083,0.137,0.321,0.0055,1.51,1e-07
59.0909090909091,0.0312615740740741,0.0312615740740741,0.083,0.137,0.321,0.0055,1.51,1e-07
60.9090909090909,0.0312615740740741,0.0312615740740741,0.083,0.137,0.321,0.0055,1.51,1e-07
62.7272727272727,0.0312615740740741,0.0312615740740741,0.083,0.137,0.321,0.0055,1.51,1e-07
64.5454545454545,0.0312615740740741,0.0312615740740741,0.083,0.137,0.321,0.0055,1.51,1e-07
66.3636363636364,0.0312615740740741,0.0312615740740741,0.083,0.137,0.321,0.0055,1.51,1e-07
68.1818181818182,0.0312615740740741,0.0312615740740741,0.083,0.137,0.321,0.0055,1.51,1e-07
70,0.0312615740740741,0.0312615740740741,0.083,0.137,0.321,0.0055,1.51,1e-07
71.8181818181818,0.0312615740740741,0.0312615740740741,0.083,0.137,0.321,0.0055,1.51,1e-07
73.6363636363636,0.0312615740740741,0.0312615740740741,0.083,0.137,0.321,0.0055,1.51,1e-07
75.4545454545455,0.0312615740740741,0.0312615740740741,0.083,0.137,0.321,0.0055,1.51,1e-07
77.2727272727273,0.0312615740740741,0.0312615740740741,0.083,0.137,0.321,0.0055,1.51,1e-07
79.0909090909091,0.0312615740740741,0.0312615740740741,0.083,0.137,0.321,0.0055,1.51,1e-07
80.9090909090909,0.0312615740740741,0.0312615740740741,0.083,0.137,0.321,0.0055,1.51,1e-07
82.7272727272727,0.0312615740740741,0.0312615740740741,0.083,0.137,0.321,0.0055,1.51,1e-07
84.5454545454545,0.0312615740740741,0.0312615740740741,0.083,0.137,0.321,0.0055,1.51,1e-07
86.3636363636364,0.0312615740740741,0.0312615740740741,0.083,0.137,0.321,0.0055,1.51,1e-07
88.1818181818182,0.0312615740740741,0.0312615740740741,0.083,0.137,0.321,0.0055,1.51,1e-07
90,0.0312615740740741,0.0312615740740741,0.083,0.137,0.321,0.0055,1.51,1e-07
91.8181818181818,0.0312615740740741,0.0312615740740741,0.083,0.137,0.321,0.0055,1.51,1e-07
93.6363636363636,0.0312615740740741,0.0312615740740741,0.083,0.137,0.321,0.0055,1.51,1e-07
95.4545454545455,0.0312615740740741,0.0312615740740741,0.083,0.137,0.321,0.0055,1.51,1e-07
97.2727272727273,0.0312615740740741,0.0312615740740741,0.083,0.137,0.321,0.0055,1.51,1e-07
99.0909090909091,0.0312615740740741,0.0312615740740741,0.083,0.137,0.321,0.0055,1.51,1e-07
100.909090909091,0.0312615740740741,0.0312615740740741,0.083,0.137,0.321,0.0055,1.51,1e-07
102.727272727273,0.0312615740740741,0.0312615740740741,0.083,0.137,0.321,0.0055,1.51,1e-07
104.545454545455,0.0312615740740741,0.0312615740740741,0.083,0.137,0.321,0.0055,1.51,1e-07
106.363636363636,0.0312615740740741,0.0312615740740741,0.083,0.137,0.321,0.0055,1.51,1e-07
108.181818181818,0.0312615740740741,0.0312615740740741,0.083,0.137,0.321,0.0055,1.51,1e-07
110,0.0312615740740741,0.0312615740740741,0.083,0.137,0.321,0.0055,1.51,1e-07
111.818181818182,0.0312615740740741,0.0312615740740741,0.083,0.137,0.321,0.0055,1.51,1e-07
113.636363636364,0.0312615740740741,0.0312615740740741,0.083,0.137,0.321,0.0055,1.51,1e-07
115.454545454545,0.0312615740740741,0.0312615740740741,0.083,0.137,0.321,0.0055,1.51,1e-07
117.272727272727,0.0312615740740741,0.0312615740740741,0.083,0.137,0.321,0.0055,1.51,1e-07
119.090909090909,0.0312615740740741,0.0312615740740741,0.083,0.137,0.321,0.0055,1.51,1e-07
120.909090909091,0.0312615740740741,0.0312615740740741,0.083,0.137,0.321,0.0055,1.51,1e-07
122.727272727273,0.0312615740740741,0.0312615740740741,0.083,0.137,0.321,0.0055,1.51,1e-07
124.545454545455,0.0312615740740741,0.0312615740740741,0.083,0.137,0.321,0.0055,1.51,1e-07
126.363636363636,0.0312615740740741,0.0312615740740741,0.083,0.137,0.321,0.0055,1.51,1e-07
128.181818181818,0.0312615740740741,0.0312615740740741,0.083,0.137,0.321,0.0055,1.51,1e-07
130,0.0312615740740741,0.0312615740740741,0.083,0.137,0.321,0.0055,1.51,1e-07
131.818181818182,0.0312615740740741,0.0312615740740741,0.083,0.137,0.321,0.0055,1.51,1e-07
133.636363636364,0.0312615740740741,0.0312615740740741,0.083,0.137,0.321,0.0055,1.51,1e-07
135.454545454545,0.0312615740740741,0.0312615740740741,0.083,0.137,0.321,0.0055,1.51,1e-07
137.272727272727,0.0312615740740741,0.0312615740740741,0.083,0.137,0.321,0.0055,1.51,1e-07
139.090909090909,0.0312615740740741,0.0312615740740741,0.083,0.137,0.321,0.0055,1.51,1e-07
140.909090909091,0.0312615740740741,0.0312615740740741,0.083,0.137,0.321,0.0055,1.51,1e-07
142.727272727273,0.0312615740740741,0.0312615740740741,0.083,0.137,0.321,0.0055,1.51,1e-07
144.545454545455,0.0312615740740741,0.0312615740740741,0.083,0.137,0.321,0.0055,1.51,1e-07
146.363636363636,0.0312615740740741,0.0312615740740741,0.083,0.137,0.321,0.0055,1.51,1e-07
148.181818181818,0.0312615740740741,0.0312615740740741,0.083,0.137,0.321,0.0055,1.51,1e-07
150,0.0312615740740741,0.0312615740740741,0.083,0.137,0.321,0.0055,1.51,1e-07
151.818181818182,0.0312615740740741,0.0312615740740741,0.083,0.137,0.321,0.0055,1.51,1e-07
153.636363636364,0.0312615740740741,0.0312615740740741,0.083,0.137,0.321,0.0055,1.51,1e-07
155.454545454545,0.0312615740740741,0.0312615740740741,0.083,0.137,0.321,0.0055,1.51,1e-07
157.272727272727,0.0312615740740741,0.0312615740740741,0.083,0.137,0.321,0.0055,1.51,1e-07
159.090909090909,0.0312615740740741,0.0312615740740741,0.083,0.137,0.321,0.0055,1.51,1e-07
160.909090909091,0.0312615740740741,0.0312615740740741,0.083,0.137,0.321,0.0055,1.51,1e-07
162.727272727273,0.0312615740740741,0.0312615740740741,0.083,0.137,0.321,0.0055,1.51,1e-07
164.545454545455,0.0312615740740741,0.0312615740740741,0.083,0.137,0.321,0.0055,1.51,1e-07
166.363636363636,0.0312615740740741,0.0312615740740741,0.083,0.137,0.321,0.0055,1.51,1e-07
168.181818181818,0.0312615740740741,0.0312615740740741,0.083,0.137,0.321,0.0055,1.51,1e-07
170,0.0312615740740741,0.0312615740740741,0.083,0.137,0.321,0.0055,1.51,1e-07
171.818181818182,0.0312615740740741,0.0312615740740741,0.083,0.137,0.321,0.0055,1.51,1e-07
173.636363636364,0.0312615740740741,0.0312615740740741,0.083,0.137,0.321,0.0055,1.51,1e-07
175.454545454545,0.0312615740740741,0.0312615740740741,0.083,0.137,0.321,0.0055,1.51,1e-07
177.272727272727,0.0312615740740741,0.0312615740740741,0.083,0.137,0.321,0.0055,1.51,1e-07
179.090909090909,0.0312615740740741,0.0312615740740741,0.083,0.137,0.321,0.0055,1.51,1e-07
180.909090909091,0.0312615740740741,0.0312615740740741,0.083,0.137,0.321,0.0055,1.51,1e-07
182.727272727273,0.0312615740740741,0.0312615740740741,0.083,0.137,0.321,0.0055,1.51,1e-07
184.545454545455,0.0312615740740741,0.0312615740740741,0.083,0.137,0.321,0.0055,1.51,1e-07
186.363636363636,0.0312615740740741,0.0312615740740741,0.083,0.137,0.321,0.0055,1.51,1e-07
188.181818181818,0.0312615740740741,0.0312615740740741,0.083,0.137,0.321,0.0055,1.51,1e-07
190,0.0312615740740741,0.0312615740740741,0.083,0.137,0.321,0.0055,1.51,1e-07
