az,el
5,17.25237
10,17.2697
15,15.50774
20,13.64207
25,15.53096
30,16.06607
35,18.90246
40,19.90449
45,19.90449
50,21.84468
55,23.20347
60,22.74446
65,21.82907
70,21.01792
75,21.06342
80,22.29122
85,20.80402
90,20.87451
95,21.78412
100,22.20813
105,22.04344
110,23.10128
115,24.79853
120,26.74455
125,30.37892
130,28.70576
135,28.46102
140,28.11823
145,28.11823
150,26.66781
155,24.03078
160,20.92656
165,17.37356
170,17.08723
175,15.07779
180,15.48955
185,16.22123
190,14.35482
195,16.05756
200,18.89948
205,21.25041
210,21.93644
215,23.15373
220,22.84137
225,25.7081
230,26.2886
235,26.2886
240,26.73492
245,27.34456
250,25.85131
255,25.85131
260,25.85131
265,23.71506
270,20.04114
275,18.58826
280,18.53911
285,16.57683
290,13.93372
295,12.2003
300,12.07143
305,9.72572
310,7.664391
315,5.598529
320,3.970972
325,3.233147
330,4.41907
335,6.08812
340,7.797845
345,9.613911
350,11.71675
355,13.89617
360,16.36644
