az,el
5,12.58642
10,11.39938
15,9.403142
20,6.576975
25,3.986481
30,2.964945
35,2.699136
40,2.939531
45,2.816567
50,2.886276
55,1.783227
60,0.970415
65,23.04219
70,23.04219
75,23.04219
80,23.04219
85,23.04219
90,23.04219
95,23.04219
100,23.04219
105,23.04219
110,23.04219
115,23.04219
120,23.04219
125,29.55915
130,29.55915
135,29.55915
140,29.55915
145,29.55915
150,29.55915
155,18.9675
160,18.9675
165,19.65963
170,20.87916
175,20.87916
180,18.73257
185,18.73257
190,16.22237
195,16.22237
200,18.22023
205,18.22023
210,15.53323
215,12.83518
220,12.83518
225,12.83518
230,9.286842
235,6.970243
240,7.979186
245,11.65273
250,10.50062
255,9.590068
260,10.23982
265,11.27683
270,11.61998
275,13.90957
280,14.64872
285,16.18466
290,15.03339
295,14.9526
300,13.23112
305,14.64757
310,13.24047
315,13.95154
320,15.5346
325,17.15254
330,18.35888
335,18.71293
340,17.37355
345,17.02502
350,15.28611
355,12.48627
360,12.88183
