az,el
5,0.292234
10,0.292234
15,0.292234
20,0.292234
25,0.292234
30,0.292234
35,0.628695
40,0.497014
45,0.780435
50,0.558684
55,1.077289
60,0.872771
65,1.701722
70,1.48016
75,1.363486
80,1.997914
85,1.875718
90,1.960308
95,1.103436
100,1.120982
105,1.257082
110,0.540331
115,1.133817
120,0.515302
125,0.844707
130,0.188838
135,0.051864
140,0
145,0.323113
150,0.403205
155,1.152591
160,0.528341
165,1.100646
170,1.465348
175,1.037898
180,0.891225
185,0.625474
190,0.061655
195,0.63224
200,0
205,0.085803
210,0.616535
215,0.905085
220,1.416127
225,1.062419
230,0.248956
235,1.111934
240,1.017596
245,16.51112
250,16.51112
255,16.51112
260,16.51112
265,16.51112
270,16.51112
275,16.51112
280,16.51112
285,16.51112
290,16.51112
295,16.51112
300,16.51112
305,0.130642
310,0
315,0
320,0.188551
325,0.467211
330,0.996605
335,0.292234
340,0.292234
345,0.738002
350,0.292234
355,0.292234
360,0.292234
