az,el
5,9.422449
10,8.969805
15,8.22776
20,8.30485
25,8.999027
30,10.38435
35,13.37957
40,14.17816
45,14.48249
50,12.40168
55,10.79141
60,9.36014
65,9.085348
70,8.05428
75,6.141253
80,4.387767
85,2.306559
90,1.511048
95,2.653919
100,3.388361
105,4.688875
110,6.920501
115,8.542709
120,10.64439
125,12.4608
130,14.09674
135,16.41972
140,16.17708
145,16.21401
150,18.12056
155,17.771
160,18.21145
165,19.26443
170,18.20084
175,17.96654
180,18.53949
185,17.62004
190,16.27553
195,14.76761
200,13.08803
205,11.51606
210,11.51606
215,14.678
220,14.7013
225,14.7013
230,19.03498
235,19.35556
240,21.4756
245,23.66249
250,24.23413
255,24.23413
260,24.23413
265,24.03424
270,21.88463
275,21.88463
280,20.03171
285,18.19428
290,16.97406
295,16.22081
300,16.22081
305,13.28693
310,10.88775
315,9.315715
320,7.930495
325,6.768673
330,6.514995
335,6.058478
340,5.038803
345,4.144572
350,5.700048
355,7.450321
360,8.638377
