az,el
5,24.97613
10,24.97613
15,24.53388
20,21.12543
25,18.97363
30,18.75831
35,16.75713
40,16.75713
45,14.49684
50,14.08491
55,12.92696
60,12.92696
65,12.56503
70,11.73057
75,11.35882
80,12.0889
85,13.24142
90,12.23987
95,11.21652
100,9.259579
105,8.82354
110,9.595156
115,9.217631
120,8.487179
125,8.46528
130,7.507186
135,7.75752
140,6.914757
145,5.227809
150,3.324654
155,1.682978
160,1.644662
165,3.248471
170,4.148959
175,4.403146
180,4.745772
185,5.993876
190,9.152572
195,10.94758
200,14.76161
205,15.78814
210,16.15538
215,16.4349
220,16.17251
225,15.04279
230,13.65763
235,11.2852
240,9.153997
245,7.580656
250,5.896759
255,4.79432
260,7.662471
265,10.72703
270,13.58568
275,15.23219
280,13.96384
285,13.87793
290,15.73109
295,17.59661
300,18.87523
305,20.0289
310,20.28738
315,21.66149
320,23.27995
325,25.26653
330,28.85372
335,32.04935
340,31.42571
345,30.8263
350,28.5176
355,28.21158
360,25.38753
