az,el
5,15.94049
10,14.28792
15,12.54275
20,11.62436
25,9.916195
30,7.842754
35,5.557997
40,5.039607
45,5.128917
50,5.539239
55,5.129742
60,7.757421
65,11.46289
70,15.29525
75,18.8487
80,19.67039
85,21.47723
90,26.0052
95,26.58958
100,27.20426
105,27.13011
110,26.24177
115,25.4838
120,25.4838
125,22.56692
130,23.06577
135,24.97002
140,24.90512
145,24.49305
150,24.49305
155,23.73841
160,21.73249
165,19.78112
170,19.93081
175,18.60837
180,16.11236
185,16.11236
190,13.30157
195,10.31821
200,10.11128
205,10.54887
210,10.85018
215,8.254983
220,7.921446
225,6.925039
230,7.883816
235,8.847777
240,11.37641
245,13.16827
250,14.47948
255,16.57247
260,17.39892
265,18.58057
270,19.40948
275,18.84739
280,17.10399
285,16.46273
290,15.03195
295,16.36454
300,15.63793
305,14.95243
310,14.92644
315,14.97791
320,15.18068
325,16.72263
330,19.04504
335,18.38795
340,17.20715
345,16.35183
350,15.83954
355,16.26467
360,16.13521
