az,el
5,30.05816
10,30.05816
15,30.05816
20,30.05816
25,30.05816
30,30.05816
35,21.69681
40,21.69681
45,21.69681
50,21.69681
55,21.69681
60,21.69681
65,16.09295
70,16.09295
75,16.09295
80,15.38522
85,15.38522
90,15.38522
95,15.38522
100,15.38522
105,15.38522
110,15.38522
115,15.38522
120,15.38522
125,4.007975
130,4.007975
135,1.263489
140,1.0587
145,0.850101
150,0.736525
155,1.429222
160,1.935197
165,1.885965
170,2.347107
175,2.84602
180,3.113465
185,4.451165
190,5.82409
195,3.352728
200,1.932354
205,3.58132
210,5.588272
215,5.588272
220,5.4718
225,10.0046
230,10.0046
235,10.13411
240,13.70286
245,13.96991
250,15.98458
255,15.98458
260,15.15255
265,15.15255
270,13.43315
275,13.35835
280,13.44045
285,13.30229
290,13.30229
295,14.34809
300,14.34809
305,23.22259
310,23.22259
315,23.22259
320,23.22259
325,23.84397
330,23.84397
335,30.05816
340,30.05816
345,30.05816
350,30.05816
355,30.05816
360,30.05816
