az,el
5,16.13433
10,17.71055
15,22.86359
20,26.80001
25,28.18329
30,29.54328
35,29.88143
40,29.52409
45,29.20699
50,29.51766
55,29.51766
60,28.73311
65,28.73311
70,25.83311
75,24.69112
80,27.2375
85,27.2375
90,25.20116
95,25.20116
100,24.51988
105,22.04176
110,20.87994
115,18.07639
120,15.63147
125,13.71094
130,6.805835
135,6.488725
140,6.001463
145,6.943484
150,7.519097
155,8.812882
160,10.65637
165,9.748726
170,10.37144
175,11.82634
180,11.31399
185,12.34959
190,12.64895
195,14.88525
200,15.2646
205,18.30914
210,20.54308
215,21.83816
220,23.65338
225,23.83156
230,24.48052
235,24.78726
240,24.78726
245,22.64398
250,20.79303
255,20.62271
260,20.62271
265,20.23927
270,20.23927
275,20.23927
280,20.04998
285,16.02043
290,16.00094
295,15.97136
300,17.5051
305,15.42466
310,14.59483
315,14.63224
320,15.9487
325,17.67048
330,17.68843
335,18.6462
340,16.33923
345,17.15466
350,15.97706
355,15.59883
360,15.29126
