az,el
5,17.1447
10,16.33177
15,15.37289
20,12.24832
25,11.36398
30,11.07944
35,17.50404
40,17.74146
45,17.74146
50,21.22842
55,21.22842
60,21.22842
65,22.04879
70,23.20453
75,23.20453
80,24.89344
85,24.89344
90,25.0884
95,24.28049
100,24.07031
105,23.13423
110,21.63489
115,19.77627
120,18.61428
125,17.25594
130,14.48214
135,14.48214
140,11.41574
145,8.987919
150,9.339386
155,10.43268
160,10.87811
165,11.95463
170,10.74332
175,11.24827
180,10.03647
185,9.798057
190,8.667672
195,8.583717
200,6.981848
205,7.712726
210,9.301921
215,9.229167
220,9.08942
225,10.09774
230,10.74965
235,10.64433
240,11.36991
245,12.40641
250,13.17237
255,13.11423
260,11.63271
265,10.23757
270,7.477092
275,7.843795
280,8.614082
285,8.259396
290,8.067383
295,7.504306
300,7.13094
305,7.398354
310,8.166247
315,8.044827
320,7.870161
325,7.126114
330,7.305894
335,9.194624
340,10.80654
345,12.24695
350,14.20102
355,15.14659
360,16.77295
