az,el
5,21.4824
10,22.48607
15,24.0579
20,24.0579
25,24.0579
30,24.0579
35,21.81155
40,21.81155
45,19.14345
50,19.14345
55,19.14345
60,19.14345
65,16.75427
70,16.75427
75,16.75427
80,10.68123
85,10.68123
90,10.68123
95,10.68123
100,10.68123
105,10.68123
110,10.68123
115,10.68123
120,10.68123
125,7.492635
130,5.201026
135,5.448955
140,5.074464
145,3.751387
150,3.386005
155,3.953202
160,4.783252
165,5.19389
170,5.183402
175,4.669617
180,3.598559
185,4.361752
190,5.286251
195,3.779306
200,3.517503
205,3.261124
210,3.179086
215,3.678048
220,3.429405
225,3.644062
230,2.813976
235,2.073904
240,2.428358
245,2.558384
250,2.771588
255,3.054151
260,3.838146
265,3.830075
270,3.645054
275,4.10577
280,4.410196
285,3.843369
290,3.392307
295,4.012995
300,4.256574
305,3.549825
310,4.423993
315,5.12832
320,9.0915
325,11.01044
330,11.01044
335,13.6151
340,15.49991
345,18.15097
350,20.11641
355,20.13095
360,21.4824
