az,el
5,22.14019
10,22.91712
15,24.18416
20,24.18416
25,25.0872
30,24.69956
35,25.05143
40,25.17334
45,25.05143
50,25.05143
55,25.05143
60,25.05143
65,23.26123
70,23.26123
75,23.26123
80,22.22153
85,18.27406
90,18.27406
95,18.27406
100,18.27406
105,18.27406
110,18.27406
115,18.27406
120,18.27406
125,10.91904
130,10.91904
135,8.240711
140,6.041515
145,4.969185
150,5.198843
155,5.367085
160,6.587219
165,7.137818
170,6.210995
175,5.966069
180,4.911624
185,5.311438
190,6.173632
195,4.59974
200,4.582668
205,4.301436
210,5.007773
215,5.772141
220,6.219869
225,7.333178
230,6.292299
235,3.354059
240,3.378394
245,4.004426
250,4.847412
255,4.266798
260,5.564695
265,5.769729
270,6.372695
275,6.366818
280,6.440916
285,5.997361
290,5.699542
295,6.312674
300,6.973328
305,6.947828
310,6.578664
315,6.621114
320,8.817254
325,11.05921
330,11.93808
335,16.4641
340,16.4641
345,19.05315
350,19.07376
355,20.41724
360,21.8405
