az,el
5,10.53758
10,10.53758
15,9.183878
20,8.291765
25,6.430073
30,4.502424
35,2.182256
40,0.653966
45,3.211352
50,0
55,0
60,0
65,0
70,0
75,0
80,0
85,0
90,0
95,0
100,0
105,0
110,0
115,0
120,0
125,0
130,0
135,0
140,0
145,0
150,0
155,2.300269
160,4.142107
165,11.79506
170,11.79506
175,11.79506
180,14.79975
185,14.79975
190,10.51341
195,10.51341
200,16.52828
205,16.52828
210,16.52828
215,23.86635
220,23.86635
225,23.86635
230,23.86635
235,23.86635
240,18.10765
245,20.53053
250,20.53053
255,20.53053
260,20.53053
265,19.53908
270,19.53908
275,19.53908
280,19.53908
285,19.51966
290,19.51966
295,19.51966
300,19.51966
305,15.61057
310,15.61057
315,9.068532
320,9.068532
325,8.916997
330,7.845872
335,3.701574
340,5.840121
345,5.840121
350,5.840121
355,5.260246
360,8.145428
