az,el
5,7.388812
10,9.719281
15,10.81339
20,10.2129
25,8.512752
30,7.758624
35,7.665723
40,9.917289
45,12.51305
50,15.97885
55,17.79676
60,16.85795
65,15.7337
70,15.68151
75,16.7143
80,19.15101
85,15.2035
90,17.08422
95,16.82129
100,14.95562
105,15.47807
110,15.34645
115,13.9687
120,13.02909
125,13.08532
130,10.91857
135,9.154487
140,7.648868
145,6.716482
150,5.307516
155,5.192957
160,4.017703
165,3.535648
170,2.999335
175,3.767804
180,3.491113
185,3.356606
190,5.966661
195,9.640548
200,10.31169
205,10.73152
210,12.35956
215,14.9336
220,16.18958
225,16.66528
230,17.80288
235,17.61766
240,18.66407
245,20.43935
250,22.41435
255,22.41435
260,22.15246
265,22.16307
270,24.00651
275,24.35259
280,24.68578
285,25.45908
290,25.01379
295,24.51783
300,23.02884
305,21.21229
310,18.86071
315,18.86071
320,16.83626
325,15.92339
330,14.04282
335,11.00215
340,9.081363
345,9.081363
350,4.46721
355,3.87963
360,4.287024
