az,el
5,25.79783
10,25.22575
15,24.16772
20,22.8924
25,21.72649
30,19.80691
35,16.98622
40,15.0434
45,12.02037
50,9.006799
55,6.979252
60,4.063264
65,4.912769
70,4.640098
75,5.176695
80,6.562422
85,7.515078
90,8.343994
95,9.039843
100,9.761184
105,10.5795
110,11.68601
115,13.03127
120,13.46064
125,14.8055
130,14.92099
135,16.52949
140,18.22448
145,18.98129
150,19.04664
155,19.7462
160,19.85552
165,19.18949
170,18.7442
175,17.87599
180,16.67116
185,16.13853
190,16.35117
195,16.18731
200,15.48614
205,15.50087
210,15.95669
215,13.99761
220,12.35947
225,10.52275
230,8.432927
235,7.376252
240,5.585871
245,6.347418
250,5.365684
255,4.00072
260,4.692352
265,7.888781
270,10.04281
275,12.2851
280,14.96774
285,17.70432
290,17.71868
295,15.40658
300,14.31846
305,19.91008
310,19.91008
315,24.40109
320,25.39546
325,25.58946
330,26.19782
335,28.25944
340,28.55731
345,28.32949
350,27.28435
355,26.92466
360,26.41709
