az,el
5,17.90605
10,14.76054
15,13.3421
20,10.46676
25,7.085914
30,5.798337
35,3.833825
40,2.764445
45,2.535185
50,5.839588
55,10.32068
60,10.32068
65,13.97068
70,18.57818
75,19.84712
80,26.13804
85,26.13804
90,29.01595
95,29.01595
100,30.51329
105,30.86663
110,31.23137
115,31.23137
120,30.86663
125,27.58402
130,27.58402
135,24.68224
140,23.20523
145,23.20523
150,21.58357
155,22.33853
160,21.38263
165,21.05361
170,20.15857
175,18.59789
180,15.99299
185,14.71005
190,15.56559
195,15.26336
200,18.3716
205,18.3716
210,18.3716
215,27.57787
220,27.57787
225,27.57787
230,28.03338
235,30.57174
240,30.57174
245,34.68941
250,34.68941
255,34.68941
260,34.68941
265,37.24625
270,37.24625
275,37.24625
280,37.79363
285,37.79363
290,37.79363
295,34.31388
300,33.9896
305,30.41646
310,30.41646
315,25.46342
320,25.46342
325,25.46342
330,25.23959
335,25.32993
340,25.32993
345,24.8978
350,24.8978
355,22.29475
360,17.90605
