az,el
5,21.07392
10,21.07392
15,13.34165
20,12.46223
25,12.13294
30,12.13294
35,9.96357
40,7.002734
45,5.950665
50,4.191769
55,4.191769
60,1.630227
65,1.240368
70,2.170453
75,2.641247
80,2.969534
85,3.764113
90,3.710163
95,4.200681
100,7.360124
105,9.952526
110,11.09144
115,9.815571
120,10.13833
125,23.335
130,23.335
135,23.335
140,25.34515
145,25.34515
150,25.34515
155,37.51895
160,37.51895
165,37.51895
170,37.51895
175,37.51895
180,37.51895
185,37.51895
190,37.51895
195,37.51895
200,37.51895
205,37.51895
210,37.51895
215,38.49604
220,38.49604
225,38.49604
230,38.49604
235,38.49604
240,38.49604
245,30.32813
250,30.32813
255,30.32813
260,30.32813
265,30.32813
270,30.32813
275,30.32813
280,30.32813
285,30.32813
290,30.32813
295,30.32813
300,30.32813
305,28.89209
310,28.89209
315,25.04984
320,25.14913
325,25.14913
330,25.14913
335,25.14913
340,25.14913
345,25.14913
350,23.77641
355,21.07392
360,21.07392
