az,el
5,11.63701
10,11.17918
15,10.64244
20,11.25663
25,10.0199
30,9.216759
35,8.588648
40,8.013096
45,8.825727
50,7.640727
55,6.483482
60,5.146362
65,3.800605
70,0.941085
75,2.251536
80,2.632698
85,3.287744
90,4.409375
95,3.94473
100,4.647485
105,6.819332
110,6.819332
115,8.507987
120,9.55265
125,12.1847
130,15.6001
135,16.69597
140,18.95573
145,18.95573
150,18.30922
155,18.3381
160,19.31125
165,18.14138
170,19.46792
175,20.978
180,20.978
185,20.978
190,15.93744
195,15.93744
200,12.75234
205,12.60351
210,12.60351
215,10.33735
220,11.48628
225,12.92434
230,14.29093
235,14.41449
240,16.11715
245,16.97363
250,19.01063
255,19.95846
260,20.50549
265,23.5345
270,23.5345
275,23.5345
280,27.29624
285,27.48241
290,27.48241
295,27.41392
300,27.41392
305,26.71589
310,26.71589
315,23.52494
320,23.52494
325,23.52494
330,19.74049
335,19.03073
340,18.02427
345,18.02427
350,16.0567
355,14.10085
360,13.05944
