az,el
5,10.55935
10,6.173697
15,5.876199
20,7.420766
25,7.862497
30,9.25443
35,9.879372
40,9.756529
45,10.37992
50,11.27708
55,9.98613
60,7.993166
65,9.606959
70,9.581626
75,10.06451
80,11.34708
85,12.97432
90,13.62459
95,12.32019
100,10.29826
105,8.417035
110,7.879771
115,7.213873
120,6.348151
125,5.638881
130,3.467797
135,4.230832
140,4.385991
145,4.940113
150,6.032579
155,6.197018
160,5.506598
165,4.520935
170,4.338171
175,6.500458
180,8.279875
185,8.839739
190,8.594902
195,8.938854
200,9.815778
205,10.11804
210,10.35265
215,17.91578
220,17.91578
225,17.91578
230,20.99571
235,20.99571
240,20.99571
245,21.82541
250,22.63343
255,22.63343
260,23.19943
265,23.52663
270,23.52663
275,23.52663
280,23.52663
285,23.44747
290,23.93299
295,23.72992
300,23.72992
305,23.72992
310,23.72992
315,22.90066
320,22.64312
325,22.57476
330,22.11043
335,20.09439
340,19.11415
345,17.38225
350,15.84769
355,12.80963
360,10.55935
