az,el
5,19.77357
10,20.40403
15,22.28682
20,23.54029
25,25.28421
30,26.29001
35,25.62989
40,25.95032
45,25.95032
50,24.35014
55,21.29746
60,20.01029
65,16.98503
70,14.82495
75,12.28951
80,11.9129
85,9.322208
90,4.010888
95,3.869433
100,5.594345
105,6.143475
110,7.237706
115,8.103472
120,8.284638
125,8.706551
130,9.578799
135,11.42305
140,11.50735
145,12.29374
150,12.29088
155,13.57928
160,14.24216
165,14.08957
170,14.35228
175,15.54161
180,16.73716
185,17.31156
190,18.08264
195,17.44388
200,18.04578
205,16.17898
210,15.93748
215,16.66644
220,14.82246
225,13.31388
230,11.703
235,12.23546
240,10.44511
245,8.470354
250,7.302668
255,4.953221
260,5.196869
265,5.043026
270,4.757351
275,6.609917
280,7.970816
285,10.35389
290,11.62428
295,13.14061
300,15.22618
305,17.88119
310,18.87185
315,20.93578
320,21.77908
325,22.46766
330,23.52581
335,24.1213
340,23.09272
345,22.89147
350,21.52918
355,21.52918
360,19.77357
