az,el
5,0.590464
10,0.584027
15,1.06864
20,1.548897
25,1.417625
30,0.180139
35,0
40,0.112248
45,0.80908
50,1.429929
55,2.149194
60,4.121434
65,20.48345
70,20.48345
75,20.48345
80,20.48345
85,20.48345
90,20.48345
95,20.48345
100,20.48345
105,20.48345
110,20.48345
115,20.48345
120,20.48345
125,0
130,0
135,0
140,0
145,0
150,0
155,0
160,0
165,0
170,0
175,0
180,0
185,0.066931
190,0.056527
195,0.195912
200,0.487897
205,0.53644
210,0.232986
215,0.768494
220,0.241094
225,1.15261
230,2.229263
235,2.601851
240,0.8375
245,0.258788
250,0
255,0
260,0
265,0.803343
270,1.219527
275,2.376392
280,1.30153
285,0.763108
290,2.045025
295,3.222537
300,5.189872
305,2.989453
310,2.157499
315,3.575965
320,1.307177
325,1.956728
330,1.953612
335,1.982951
340,1.835919
345,2.2822
350,2.167437
355,0.955959
360,1.361389
