az,el
5,19.47464
10,17.80425
15,17.80425
20,16.24057
25,14.68341
30,15.78975
35,15.95933
40,14.74634
45,13.65483
50,11.28069
55,10.60968
60,11.47155
65,9.102075
70,8.006193
75,6.038789
80,3.978163
85,3.023013
90,2.337613
95,3.819694
100,4.48341
105,5.486476
110,6.184605
115,8.418724
120,10.02915
125,12.64643
130,14.31082
135,16.15358
140,17.23827
145,17.26897
150,18.56286
155,20.88051
160,21.13629
165,20.22923
170,18.90223
175,16.64607
180,16.14354
185,18.98467
190,20.23103
195,20.8236
200,21.61784
205,21.88091
210,20.01745
215,19.37191
220,18.50683
225,17.36282
230,16.034
235,14.22904
240,13.04813
245,11.41972
250,8.325673
255,6.696398
260,6.736294
265,6.30135
270,6.315029
275,6.249897
280,6.111778
285,5.413453
290,4.98208
295,5.074396
300,7.427406
305,9.723505
310,11.64098
315,12.76584
320,13.56927
325,14.90605
330,15.52308
335,16.2258
340,17.67285
345,19.48897
350,20.57418
355,20.74261
360,20.1659
