az,el
5,20.61296
10,23.1809
15,23.1809
20,23.83766
25,23.83766
30,23.00861
35,23.12777
40,24.24466
45,24.24466
50,24.24466
55,23.83175
60,23.83175
65,21.17644
70,20.10481
75,20.10481
80,18.91538
85,18.91538
90,14.86598
95,14.86598
100,9.651016
105,9.651016
110,7.785475
115,2.105971
120,2.065746
125,2.180928
130,3.323012
135,3.337343
140,4.146006
145,4.629158
150,5.175593
155,8.481055
160,9.095101
165,12.28142
170,15.25103
175,15.80557
180,18.7312
185,18.7312
190,21.47921
195,21.47921
200,22.50064
205,23.97207
210,23.97207
215,21.63163
220,20.36788
225,21.17318
230,20.44639
235,20.44639
240,21.62055
245,21.62055
250,20.9518
255,20.9518
260,21.42906
265,21.42906
270,20.15705
275,19.34242
280,18.34523
285,17.55007
290,16.36724
295,14.44648
300,14.94625
305,13.89364
310,11.69618
315,9.561918
320,8.851642
325,9.6177
330,11.87516
335,14.30925
340,15.79476
345,18.45336
350,18.45336
355,20.02227
360,20.61296
