az,el
5,18.01142
10,17.69146
15,16.51044
20,15.24977
25,14.41898
30,13.85104
35,10.35546
40,8.928467
45,8.433375
50,7.705857
55,8.537804
60,12.38526
65,15.25798
70,18.35993
75,17.58554
80,18.47542
85,20.33606
90,22.8328
95,21.03797
100,20.76816
105,20.20117
110,20.56226
115,21.14746
120,20.40564
125,19.2918
130,18.85012
135,18.0463
140,17.34493
145,15.88731
150,14.30092
155,12.79831
160,12.3763
165,11.46071
170,10.21739
175,9.437207
180,5.804901
185,6.101437
190,4.958187
195,6.183439
200,4.62349
205,4.289959
210,3.937434
215,7.609882
220,7.609882
225,7.609882
230,14.09278
235,14.09278
240,14.09278
245,19.8352
250,19.8352
255,19.8352
260,22.73489
265,22.73489
270,22.73489
275,22.73489
280,23.71557
285,24.55763
290,26.53225
295,26.53225
300,26.53225
305,26.53225
310,26.53225
315,26.34757
320,26.34757
325,26.34757
330,24.23043
335,23.97065
340,22.71334
345,22.65647
350,21.18783
355,20.16286
360,19.21977
