az,el
5,28.89718
10,25.83507
15,25.83507
20,22.93549
25,21.23298
30,16.89034
35,15.0126
40,12.59996
45,11.47744
50,9.81367
55,8.517401
60,3.762689
65,4.080257
70,6.381632
75,7.353039
80,11.56151
85,12.39428
90,13.25801
95,13.25801
100,18.33887
105,20.16929
110,21.45911
115,21.45911
120,23.15279
125,23.15279
130,21.01502
135,21.01221
140,21.49975
145,22.31332
150,23.03487
155,24.99686
160,25.66444
165,25.66444
170,25.66444
175,25.07315
180,22.26431
185,22.26431
190,22.26431
195,18.091
200,16.7001
205,16.69467
210,16.69467
215,13.03801
220,13.02487
225,12.50548
230,12.25469
235,15.08223
240,16.28846
245,14.89385
250,16.40804
255,18.79899
260,20.48077
265,22.25897
270,25.40113
275,26.46691
280,26.48531
285,26.12831
290,25.52007
295,25.47432
300,27.87887
305,24.63272
310,27.06973
315,27.91194
320,26.87579
325,27.77918
330,28.30948
335,29.49276
340,30.00667
345,30.42141
350,29.54139
355,28.42717
360,28.89718
