az,el
5,20.78135
10,22.8488
15,24.28728
20,24.1513
25,24.50219
30,25.28641
35,24.40087
40,22.58436
45,21.47922
50,18.0439
55,16.09792
60,15.27234
65,12.8602
70,11.35243
75,9.871438
80,7.016631
85,4.475272
90,3.226843
95,4.86853
100,5.729102
105,6.88322
110,7.789018
115,8.602474
120,8.943235
125,9.325558
130,10.81468
135,12.44435
140,12.38913
145,13.1931
150,13.31634
155,14.85697
160,15.89112
165,16.64636
170,16.46166
175,16.63412
180,17.42874
185,18.00911
190,19.05274
195,19.63175
200,19.29034
205,19.07099
210,17.53486
215,16.52382
220,17.00853
225,15.03297
230,14.0329
235,11.73677
240,11.55268
245,9.920803
250,7.914116
255,6.221562
260,5.014908
265,4.813073
270,4.654378
275,4.549002
280,6.178775
285,8.391933
290,10.21621
295,11.51926
300,12.48521
305,14.94908
310,16.06846
315,17.56075
320,18.61579
325,19.52544
330,21.24882
335,20.37333
340,18.73626
345,16.66072
350,13.90039
355,15.13355
360,18.19157
